material_code,material_name,modelnum,huid_productline_name,baseunit_number,baseunit_name,group_name,group_type,materialattr,purchase_fixedleadtime,purchase_huid_batchqty,purchase_huid_minlotsize,product_fixedleadtime,material_standard_price,product_status
849-000818,Φ5*20+M4*8_不锈钢塞打螺丝_整圈耐落,"304不锈钢，本色，强度等级：A2-70,第3到第10个螺牙要整圈涂耐落漆，中性盐雾72小时，符合GB 6281-1985",公用物料,pcs,个,原材料-组装料,五金件,外购,17.00,,,1.00,,已上架
165-001337,YN540S_出药口过滤网,L*W*H：204*57*57；PP+30GF骨架+模内嵌件50目不锈钢网,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
359-000033,充电器总成,"额定输出功率1.5KW额定输入电压220V额定输出电压72V,BW-S15FFB",无人车,pcs,个,原材料-电子料,通用电气零件,外购,1.00,,,1.00,839.999964,已上架
165-001879,YN580后称重计硅胶线卡,L*W*H：60*21*14mm，硅胶材质，硬度70，黑色,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,21.00,,,1.00,,已上架
165-003030,100电调支架,L*W*H：68*80.3*83mm，6061铝合金，喷砂+黑色阳极氧化,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,48.249983,已上架
165-001855,YN580称重计按压头,L*W*H：φ30*17mm；黑色/PU/硬度：70，包胶3mm厚304不锈钢片,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,21.00,,,1.00,2.469954,已上架
590-000074,农业全程作业智能探测系统,YNGPCS700E1-双摄像头-北斗,监测终端,pcs,个,库存商品-产成品,701包装成品,自制,1.00,,,1.00,,已上架
363-000209,701电源2米线束,线束总长2米，连接器：M12防水4p线端母头A（昌骏）,监测终端,pcs,个,原材料-包装料,线束（包装线束）,外购,35.00,,,1.00,,已上架
276-000033,150电调组件,,无人机,pcs,个,原材料-半成品,HD5150组装半成品,自制,1.00,,,1.00,,已上架
593-000026,YN300E-华大-超雅,,监测终端,pcs,个,原材料-半成品,701整机,自制,1.00,,,1.00,,已上架
838-000461,单北斗双频定位天线,YG-DN-GNSS-3500-SMAJ-5550,智能定位,pcs,个,原材料-组装料,天线、传感器&摄像头,外购,35.00,,,1.00,,已上架
165-002532,YN525_桨托,EVA，黑色,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,14.00,,,1.00,2.749968,已上架
849-000638,M3X6扁平头机牙螺丝,M3X6扁平头机牙十字耐落 不锈钢，螺丝要求：第3到第10个螺牙要整圈涂耐落漆,公用物料,pcs,个,原材料-组装料,五金件,外购,35.00,,,1.00,,已上架
525-000100,YN580动力套组件1号_M10_中性,,无人机,pcs,个,原材料-半成品,HD580组件整机,自制,1.00,,,1.00,,已上架
994-000527,YN525_作业总线,,无人机,pcs,个,原材料-组装料,线束（组装线束）,外购,28.00,,,1.00,,已上架
165-002707,YN418方向盘盖板LOGO-YN,,自动驾驶,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,21.00,,,1.00,5.500049,已上架
994-000616,412通用主线束,,自动驾驶,pcs,个,原材料-组装料,线束（组装线束）,外购,42.00,,,1.00,279.999988,已上架
994-000714,580V3后机臂电子调速电源线（3，4号）,,行业无人机,pcs,个,原材料-组装料,线束（组装线束）,外购,35.00,,,1.00,188.000021,已上架
849-000357,M2.5*20_不锈钢十字圆头机牙螺丝_整圈耐落,"304不锈钢，本色，强度等级：A2-70,第3到第10个螺牙要整圈涂耐落漆，中性盐雾72小时，符合GB/T 918-2016",公用物料,pcs,个,原材料-组装料,五金件,外购,13.00,,,1.00,,已上架
165-002269,YN580摇摆桨CCW桨夹,L*W*H：137.7*47*42mm，6061铝合金-T6，黑色阳极氧化,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
849-000913,608DW轴承,L*W*H：22*81*7mm；品牌NSK；绿色胶盖,公用物料,pcs,个,原材料-组装料,五金件,外购,1.00,,,1.00,,已上架
165-001986,YN580雷达硅胶堵头1,材质：硅胶，硬度70，黑色,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,21.00,,,1.00,,已上架
525-000102,YN580动力套组件3号_M10_中性,,无人机,pcs,个,原材料-半成品,HD580组件整机,自制,1.00,,,1.00,,已上架
165-002313,YN525_右管夹,L*W*H：254*129.4*27.8mm;材质：QA66+15GF，黑色,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
795-000874,YN525_脚架前横梁,"""L*W*H：275*106*44.5mm；壁厚1.0mm；材质：6061铝型材，T6时效表面阳极氧化黑色哑光""",无人机,pcs,个,原材料-组装料,通用机械零件,外购,28.00,,,1.00,35.000055,已上架
972-000696,FLASH,X25Q01JVZEIQ,公用物料,pcs,个,原材料-电子料,集成电路1（IC）,外购,84.00,,,1.00,95.000004,已上架
165-001947,YN580上桨夹,L*W*H：139*44*20mm；6061铝合金-T6，黑色阳极氧化,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,28.00,,,1.00,,已上架
362-000170,YN540 40寸反桨组件_新丝印无YN logo,黑色M5X30杯头螺丝*2，φ30xφ15x1pom垫片*4，φ29xφ15x1.5硅胶垫*4，40寸CCW 40132反桨桨叶*2，40寸桨夹*1,无人机,pcs,个,原材料-包装料,无人机组装料,自制,42.00,,,1.00,,已上架
165-002028,YN580动力电机保护罩-前,L*W*H：283.5*180*141mm，EPP发泡、灰色,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,21.00,,,1.00,,已上架
525-000016,YS403双目摄像头组件,,无人机,pcs,个,原材料-半成品,HD580组件整机,自制,1.00,,,1.00,,已上架
165-001027,YN540PRO_RTK支架硅胶圈,黑色圆形硅胶圈，55度,无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,21.00,,,1.00,,已上架
832-000011,601机具识别传感器整机（凯乐伯）,,监测终端,pcs,个,原材料-半成品,倾角识别/姿态,自制,1.00,,,1.00,,已上架
382-000006,北斗导航农机驾驶仪,YN406BDS-2.5GD(YN406插秧机V2),自动驾驶,pcs,个,库存商品-产成品,406包装成品,自制,1.00,,,1.00,,已上架
165-002031,"""YN580机臂护线硅胶圈""","L*W*H：59.5*59.2*23mm；""硅橡胶，硬度70°""",无人机,pcs,个,原材料-组装料,加工零部件（外壳、硅胶按键、标签等）,外购,21.00,,,1.00,,已上架
528-000042,YS221E接收机整机_千寻星基版_单天线_整机,,自动驾驶,pcs,个,原材料-半成品,418整机,自制,,,,1.00,,已上架
