billno,materialplanid_number,materialplanid_name,materialattr_title,dropbilltype_name,dropstatus_title,adviseorderqty,bizorderqty,orderdate,advisestartdate,startdate,adviseenddate,enddate,availabledate,planoperatenum,bizdropqty,advisedroptime,droptime,creator_name,rootdemandbillno,closestatus_title,createtime
JHJY-20260421-00046607,525-000135,YN580旋转雷达组件V2.1,自制,汇报生产,已投放,0.0000,60.0000,2026-04-21,,2026-04-21,,2026-04-22,2026-04-22,,60.0000,,2026-04-21 11:23:12,朱杰倩,,投放关闭,2026-04-21 11:22:41
JHJY-20251218-00035142,994-000592,508_电源+前轮转角连接线（95%编织套管）,外购,生产项目采购申请单,已投放,2076.0000,2076.0000,2025-12-26,2025-12-26,2025-12-26,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,2076.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035143,994-000592,508_电源+前轮转角连接线（95%编织套管）,外购,生产项目采购申请单,已投放,60.0000,60.0000,2025-12-26,2025-12-26,2025-12-26,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,60.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035144,994-000592,508_电源+前轮转角连接线（95%编织套管）,外购,生产项目采购申请单,已投放,24.0000,24.0000,2025-12-26,2025-12-26,2025-12-26,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,24.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035145,994-000592,508_电源+前轮转角连接线（95%编织套管）,外购,生产项目采购申请单,已投放,1284.0000,1284.0000,2026-01-23,2026-01-23,2026-01-23,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,1284.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035146,994-000592,508_电源+前轮转角连接线（95%编织套管）,外购,生产项目采购申请单,已投放,192.0000,192.0000,2026-01-23,2026-01-23,2026-01-23,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,192.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035147,994-000592,508_电源+前轮转角连接线（95%编织套管）,外购,生产项目采购申请单,已投放,48.0000,48.0000,2026-01-23,2026-01-23,2026-01-23,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,48.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035189,468-000560,YN812说明书-中文,外购,生产项目采购申请单,已投放,1098.0000,1098.0000,2026-02-20,2026-02-20,2026-02-20,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,1098.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035190,468-000560,YN812说明书-中文,外购,生产项目采购申请单,已投放,228.0000,228.0000,2026-02-20,2026-02-20,2026-02-20,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,228.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035280,838-000128,308V3摄像头,外购,生产项目采购申请单,已投放,771.0000,771.0000,2026-02-03,2026-02-03,2026-02-03,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,771.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035282,838-000128,308V3摄像头,外购,生产项目采购申请单,已投放,228.0000,228.0000,2026-02-03,2026-02-03,2026-02-03,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,228.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035281,838-000128,308V3摄像头,外购,生产项目采购申请单,已投放,42.0000,42.0000,2026-02-03,2026-02-03,2026-02-03,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,42.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000034,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035285,795-000133,线束安装附件包,外购,生产项目采购申请单,已投放,18673.0000,18673.0000,2026-01-20,2026-01-20,2026-01-20,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,18673.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
JHJY-20251218-00035287,795-000133,线束安装附件包,外购,生产项目采购申请单,已投放,240.0000,240.0000,2026-01-20,2026-01-20,2026-01-20,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,240.0000,,2025-12-19 21:21:17,朱杰倩,YCD2025121600000033,投放关闭,2025-12-18 20:23:17
