material_code,material_name,huid_productline_name
382-000005,北斗导航农机驾驶仪,自动驾驶
382-000006,北斗导航农机驾驶仪,自动驾驶
526-000001,北斗导航农机驾驶仪,自动驾驶
526-000005,北斗导航农机驾驶仪,自动驾驶
526-000006,北斗导航农机驾驶仪,自动驾驶
623-000034,408卫星平地系统(海外版）,自动驾驶
367-000061,农业无人飞机,无人机
367-000097,625 农业无人飞机,无人机
367-000102,625 农业无人飞机,无人机
367-000130,YN580农业无人飞机,无人机
367-000131,YN580农业无人飞机,无人机
590-000064,农业全程作业智能探测系统,监测终端
590-000072,农业全程作业智能探测系统,监测终端
590-000073,农业全程作业智能探测系统,监测终端
590-000074,农业全程作业智能探测系统,监测终端
590-000075,农业全程作业智能探测系统,监测终端
590-000100,农机智能探测系统,监测终端
734-000001,WH300无人车,无人车
734-000003,WH300 双喷头整车（EU版）,无人车
U00-000080,北斗车载智能终端系统,智能定位
U00-000151,北斗车载智能终端系统,智能定位
U00-000155,北斗车载智能终端系统,智能定位
U00-000159,北斗车载智能终端系统,智能定位
U00-000160,北斗车载智能终端系统,智能定位
U00-000161,北斗车载智能终端系统,智能定位
U00-000170,北斗车载智能终端系统,智能定位
P69-000060,友安北斗智能仪表系统,智能大屏
P61-000328,农业智能播种监控系统,智能播种
P61-000331,农业智能播种监控系统,智能播种
P61-000351,农业智能播种监控系统,智能播种
