material_code,material_name,modelnum,huid_productline_name,baseunit_number,baseunit_name,group_name,group_type,materialattr,purchase_fixedleadtime,purchase_huid_batchqty,purchase_huid_minlotsize,product_fixedleadtime,material_standard_price,product_status
849-000818,Sample Business Label 707aa401,Sample Business Label 9808bb81,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,17.00,,,1.00,,Listed
165-001337,Sample Business Label dc2a88c6,Sample Business Label 98c76931,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,,Listed
359-000033,Sample Business Label cc84cdec,Sample Business Label 0a2806b1,Sample Business Label 96053b3e,pcs,piece,Sample Business Label 17302eae,Sample Business Label ddf8bc50,Purchased,1.00,,,1.00,839.999964,Listed
165-001879,Sample Business Label 9a347154,Sample Business Label b6364847,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,21.00,,,1.00,,Listed
165-003030,Sample Business Label a724b145,Sample Business Label 2d1eb743,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,28.00,,,1.00,48.249983,Listed
165-001855,Sample Business Label f0a2f909,Sample Business Label 5c2f2921,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,21.00,,,1.00,2.469954,Listed
590-000074,Full-cycle Agricultural Operation Detection System,Sample Business Label 65d867bd,Sample Business Label 7bdc2d0a,pcs,piece,Sample Business Label e9fffb2c,Sample Business Label 64f0ddff,In-house,1.00,,,1.00,,Listed
363-000209,Sample Business Label c5812ca7,Sample Business Label e606f164,Sample Business Label 7bdc2d0a,pcs,piece,Sample Business Label 0e5444d0,Sample Business Label 797c70ef,Purchased,35.00,,,1.00,,Listed
276-000033,Sample Business Label 86878ae2,,Sample Business Label 1674b06f,pcs,piece,Sample Business Label f0207843,Sample Business Label 9d43fb1c,In-house,1.00,,,1.00,,Listed
593-000026,Sample Business Label 37c3a553,,Sample Business Label 7bdc2d0a,pcs,piece,Sample Business Label f0207843,Sample Business Label a68f67a0,In-house,1.00,,,1.00,,Listed
838-000461,Sample Business Label 779676e5,YG-DN-GNSS-3500-SMAJ-5550,Sample Business Label 5c716e22,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 6e9ebdaf,Purchased,35.00,,,1.00,,Listed
165-002532,Sample Business Label 59001f1e,Sample Business Label 13a4bba8,Sample Business Label 1674b06f,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label bde42e5a,Purchased,14.00,,,1.00,2.749968,Listed
849-000638,Sample Business Label cb5c2bcb,Sample Business Label a50d3a26,Sample Business Label 887d7f95,pcs,piece,Sample Business Label 4bf28cec,Sample Business Label 0f3d50d5,Purchased,35.00,,,1.00,,Listed
