seq_no,bom_version,bom_material_code,bom_level,material_code,material_name,usage_numerator,usage_denominator,standard_usage,variable_loss_rate,demand_quantity,alt_group_no,alt_part,alt_priority,alt_method,parent_material_code
1,2026-08-05,382-000005,0,382-000005,北斗导航农机驾驶仪,,,1.000000,0.00,1.000000,0,,0,,
2,2026-08-05,382-000005,1,791-000013,YN406预组装包(拖拉机),1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,382-000005
3,2026-08-05,382-000005,1,606-000989,YN406 包装外箱_V2,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,382-000005
4,2026-08-05,382-000005,1,606-000990,YN406 珍珠棉内托_V2,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,382-000005
5,2026-08-05,382-000005,1,528-000036,YS221A接收机组件_国内,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,382-000005
6,2026-08-05,382-000005,1,791-000007,YN406B方向盘组件（拖拉机）,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,382-000005
7,2026-08-05,382-000005,1,994-000550,406电源+电机+接收机连接线,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,382-000005
8,2026-08-05,382-000005,1,468-000493,YN406说明书（中文）,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,382-000005
9,2026-08-05,382-000005,1,468-000530,导航车贴(60*15cm),1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,382-000005
10,2026-08-05,382-000005,1,791-000015,YN403显示终端整机_预装组件_拖拉机,1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,382-000005
11,2026-08-05,382-000005,2,795-000993,IMU、蘑菇头、显示终端安装附件包(30长),1.000000,1.000000,1.000000,0.00,1.000000,0,,0,,791-000013
12,2026-08-05,382-000005,2,849-001041,1号电机支架抱箍B（S22新款）,1.000000,1.000000,1.000000,0.00,1.000000,2,,0,替代,791-000013
13,2026-08-05,382-000005,2,849-000210,1号电机支架抱箍B（S22）,1.000000,1.000000,1.000000,0.00,1.000000,2,√,1,替代,791-000013
14,2026-08-05,382-000005,2,849-001042,1号电机支架抱箍A（S22新款）,1.000000,1.000000,1.000000,0.00,1.000000,1,,0,替代,791-000013
