billno,materialplanid_number,materialplanid_name,materialattr_title,dropbilltype_name,dropstatus_title,adviseorderqty,bizorderqty,orderdate,advisestartdate,startdate,adviseenddate,enddate,availabledate,planoperatenum,bizdropqty,advisedroptime,droptime,creator_name,rootdemandbillno,closestatus_title,createtime
JHJY-20260421-00046607,525-000135,Sample Business Label 2bd248f3,In-house,Sample Business Label 68d7a178,Sample Business Label 14d1364a,0.0000,60.0000,2026-04-21,,2026-04-21,,2026-04-22,2026-04-22,,60.0000,,2026-04-21 11:23:12,Zhu Jieqian,,Sample Business Label ae093165,2026-04-21 11:22:41
JHJY-20251218-00035142,994-000592,Sample Business Label 06823166,Purchased,Production Project Purchase Request,Sample Business Label 14d1364a,2076.0000,2076.0000,2025-12-26,2025-12-26,2025-12-26,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,2076.0000,,2025-12-19 21:21:17,Zhu Jieqian,YCD2025121600000033,Sample Business Label ae093165,2025-12-18 20:23:17
JHJY-20251218-00035143,994-000592,Sample Business Label 06823166,Purchased,Production Project Purchase Request,Sample Business Label 14d1364a,60.0000,60.0000,2025-12-26,2025-12-26,2025-12-26,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,60.0000,,2025-12-19 21:21:17,Zhu Jieqian,YCD2025121600000033,Sample Business Label ae093165,2025-12-18 20:23:17
JHJY-20251218-00035144,994-000592,Sample Business Label 06823166,Purchased,Production Project Purchase Request,Sample Business Label 14d1364a,24.0000,24.0000,2025-12-26,2025-12-26,2025-12-26,2026-01-30,2026-01-30,2026-01-30,MRP-20251218-00000100,24.0000,,2025-12-19 21:21:17,Zhu Jieqian,YCD2025121600000033,Sample Business Label ae093165,2025-12-18 20:23:17
JHJY-20251218-00035145,994-000592,Sample Business Label 06823166,Purchased,Production Project Purchase Request,Sample Business Label 14d1364a,1284.0000,1284.0000,2026-01-23,2026-01-23,2026-01-23,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,1284.0000,,2025-12-19 21:21:17,Zhu Jieqian,YCD2025121600000034,Sample Business Label ae093165,2025-12-18 20:23:17
JHJY-20251218-00035146,994-000592,Sample Business Label 06823166,Purchased,Production Project Purchase Request,Sample Business Label 14d1364a,192.0000,192.0000,2026-01-23,2026-01-23,2026-01-23,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,192.0000,,2025-12-19 21:21:17,Zhu Jieqian,YCD2025121600000034,Sample Business Label ae093165,2025-12-18 20:23:17
JHJY-20251218-00035147,994-000592,Sample Business Label 06823166,Purchased,Production Project Purchase Request,Sample Business Label 14d1364a,48.0000,48.0000,2026-01-23,2026-01-23,2026-01-23,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,48.0000,,2025-12-19 21:21:17,Zhu Jieqian,YCD2025121600000034,Sample Business Label ae093165,2025-12-18 20:23:17
JHJY-20251218-00035189,468-000560,Sample Business Label 6726f7b1,Purchased,Production Project Purchase Request,Sample Business Label 14d1364a,1098.0000,1098.0000,2026-02-20,2026-02-20,2026-02-20,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,1098.0000,,2025-12-19 21:21:17,Zhu Jieqian,YCD2025121600000034,Sample Business Label ae093165,2025-12-18 20:23:17
JHJY-20251218-00035190,468-000560,Sample Business Label 6726f7b1,Purchased,Production Project Purchase Request,Sample Business Label 14d1364a,228.0000,228.0000,2026-02-20,2026-02-20,2026-02-20,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,228.0000,,2025-12-19 21:21:17,Zhu Jieqian,YCD2025121600000034,Sample Business Label ae093165,2025-12-18 20:23:17
JHJY-20251218-00035280,838-000128,Sample Business Label b693d72a,Purchased,Production Project Purchase Request,Sample Business Label 14d1364a,771.0000,771.0000,2026-02-03,2026-02-03,2026-02-03,2026-02-27,2026-02-27,2026-02-27,MRP-20251218-00000100,771.0000,,2025-12-19 21:21:17,Zhu Jieqian,YCD2025121600000034,Sample Business Label ae093165,2025-12-18 20:23:17
