id,billno,billstatus,auditdate,billdate,entry_id,material_number,material_name,huid_scxmh_number,qty,planbegintime,planendtime,xkquainwaqty,sourcebilltype,sourcebillnumber,srcbillentity,pickstatus_title,taskstatus_title
0000011122,HDKJ-20250811-004,Approved,2025-08-11 10:34:02,2025-08-11,0000011121,590-000072,Full-cycle Agricultural Operation Detection System,,10.0000,2025-08-11 10:29:21,2025-08-12 23:59:59,10.0000,,,,Fully Issued,Completed
0000011343,HDKJ-20250813-005,Approved,2025-08-13 13:38:05,2025-08-13,0000011342,590-000064,Full-cycle Agricultural Operation Detection System,,300.0000,2025-08-13 13:36:45,2025-08-14 23:59:59,300.0000,,,,Fully Issued,Completed
0000011357,HDKJ-20250813-011,Approved,2025-08-13 17:55:14,2025-08-13,0000011356,590-000075,Full-cycle Agricultural Operation Detection System,,1.0000,2025-08-13 17:53:30,2025-08-14 23:59:59,1.0000,,,,Fully Issued,Completed
0000011388,HDKJ-20250814-001,Approved,2025-08-14 08:33:07,2025-08-14,0000011387,590-000075,Full-cycle Agricultural Operation Detection System,,20.0000,2025-08-14 08:29:40,2025-08-15 23:59:59,20.0000,,,,Fully Issued,Completed
0000011403,HDKJ-20250814-002,Approved,2025-08-14 14:40:56,2025-08-14,0000011402,590-000064,Full-cycle Agricultural Operation Detection System,,0.0000,2025-08-14 14:38:51,2025-08-15 23:59:59,0.0000,,,,Sample Business Label acdff3ad,Completed
0000011405,HDKJ-20250814-004,Approved,2025-08-14 15:43:56,2025-08-14,0000011404,590-000064,Full-cycle Agricultural Operation Detection System,,2.0000,2025-08-14 15:42:45,2025-08-15 23:59:59,2.0000,,,,Fully Issued,Completed
0000011413,HDKJ-20250815-013,Approved,2025-08-15 13:41:08,2025-08-15,0000011412,590-000075,Full-cycle Agricultural Operation Detection System,,10.0000,2025-08-15 13:39:50,2025-08-16 23:59:59,10.0000,,,,Fully Issued,Completed
0000011429,HDKJ-20250818-001,Approved,2025-08-18 08:11:15,2025-08-18,0000011428,590-000100,Agricultural Machinery Detection System,,400.0000,2025-08-18 08:09:24,2025-08-19 23:59:59,400.0000,,,,Fully Issued,Completed
0000011430,HDKJ-20250818-002,Approved,2025-08-18 10:20:56,2025-08-18,0000011431,590-000064,Full-cycle Agricultural Operation Detection System,,200.0000,2025-08-14 14:38:51,2025-08-15 23:59:59,200.0000,,,,Fully Issued,Completed
0000011432,HDKJ-20250818-003,Approved,2025-08-18 10:22:50,2025-08-18,0000011433,590-000064,Full-cycle Agricultural Operation Detection System,,100.0000,2025-08-14 14:38:51,2025-08-15 23:59:59,100.0000,,,,Fully Issued,Completed
0000011435,HDKJ-20250818-004,Approved,2025-08-18 10:28:35,2025-08-18,0000011434,590-000064,Full-cycle Agricultural Operation Detection System,,1.0000,2025-08-18 10:25:48,2025-08-19 23:59:59,1.0000,,,,Fully Issued,Completed
0000011437,HDKJ-20250818-005,Approved,2025-08-18 10:29:49,2025-08-18,0000011436,590-000100,Agricultural Machinery Detection System,,1.0000,2025-08-18 10:28:38,2025-08-19 23:59:59,1.0000,,,,Fully Issued,Completed
0000011440,KSHA-20250818-002,Approved,2025-08-20 15:00:50,2025-08-18,0000011534,P69-000060,Sample Business Label 713c8bb9,,50.0000,2025-08-20 14:59:54,2025-08-21 23:59:59,50.0000,,,,Fully Issued,Completed
0000011444,HDKJ-20250818-009,Approved,2025-08-18 11:59:27,2025-08-18,0000011443,590-000075,Full-cycle Agricultural Operation Detection System,,200.0000,2025-08-18 11:58:03,2025-08-19 23:59:59,200.0000,,,,Fully Issued,Completed
0000011487,KSHA-20250819-002,Approved,2025-08-19 14:49:35,2025-08-19,0000011486,U00-000159,Beidou Vehicle Telematics Terminal System,,1000.0000,2025-08-19 14:48:47,2025-08-20 23:59:59,1000.0000,,,,Fully Issued,Completed
0000011537,HDKJ-20250820-007,Approved,2025-08-20 15:31:42,2025-08-20,0000011536,590-000100,Agricultural Machinery Detection System,,300.0000,2025-08-20 15:28:12,2025-08-21 23:59:59,300.0000,,,,Fully Issued,Completed
0000011539,HDKJ-20250820-011,Approved,2025-08-20 16:43:39,2025-08-20,0000011538,590-000072,Full-cycle Agricultural Operation Detection System,,20.0000,2025-08-20 16:42:03,2025-08-21 23:59:59,20.0000,,,,Fully Issued,Completed
0000011776,HDKJ-20250821-008,Approved,2025-08-21 15:56:34,2025-08-21,0000011775,590-000072,Full-cycle Agricultural Operation Detection System,,4.0000,2025-08-21 15:18:07,2025-08-22 23:59:59,4.0000,,,,Fully Issued,Completed
0000011906,HDKJ-20250823-005,Approved,2025-08-23 16:14:17,2025-08-23,0000011905,590-000100,Agricultural Machinery Detection System,,300.0000,2025-08-23 16:09:32,2025-08-24 23:59:59,300.0000,,,,Fully Issued,Completed
0000011921,HDKJ-20250824-001,Approved,2025-08-24 10:12:17,2025-08-24,0000011920,590-000075,Full-cycle Agricultural Operation Detection System,,12.0000,2025-08-24 10:10:41,2025-08-25 23:59:59,12.0000,,,,Fully Issued,Completed
