id,billno,biztime,org_name,billtype_name,biztype_name,supplier_number,supplier_name,operatorname,huid_xycg_operatorname,createtime,auditdate,entry_id,material_number,material_name,qty,taxrate,tax_price,deliverdate,srcbillentryid,srcbillid,srcbillnumber,invqty,returnqty,actqty,rowclosestatus_title,rowterminatestatus_title
0000040020,01-HDKJ-CGDD-260427-014383,2026-04-27,Sample Business Label 986f8dd6,Production Project Purchase Order,Material Purchase,76904023,Sample Business Label 3dea09d7,Sample Business Label 3963e520,Sample Business Label f0145987,2026-04-27 16:31:10,2026-04-27 16:46:50,0000040021,363-000538,Sample Business Label bc8cdac2,40.00,13.00,0,2026-03-20,0000029190,0000029159,CGSQ-260309-000003,40.00,0.00,40.00,Closed,Normal
0000039996,01-HDKJ-CGDD-260427-014381,2026-04-27,Sample Business Label 986f8dd6,Production Project Purchase Order,Material Purchase,51204043,Sample Business Label ca46fff9,Sample Business Label 6e587027,Sample Business Label be6aae72,2026-04-27 15:30:20,2026-04-27 17:29:13,0000039997,165-002351,Sample Business Label 94b52700,500.00,13.00,0,2026-05-31,0000039190,0000039185,CGSQ-260423-000006,383.00,0.00,383.00,Normal,Normal
0000039993,01-HDKJ-CGDD-260427-014379,2026-04-27,Sample Business Label 986f8dd6,Production Project Purchase Order,Material Purchase,76904023,Sample Business Label 3dea09d7,Sample Business Label 6e587027,Sample Business Label be6aae72,2026-04-27 15:25:46,2026-04-27 17:29:37,0000039995,356-000530,Sample Business Label 5c6264d2,55.00,13.00,0,2026-06-19,0000039643,0000039642,CGSQ-260424-000030,55.00,0.00,55.00,Closed,Normal
0000039993,01-HDKJ-CGDD-260427-014379,2026-04-27,Sample Business Label 986f8dd6,Production Project Purchase Order,Material Purchase,76904023,Sample Business Label 3dea09d7,Sample Business Label 6e587027,Sample Business Label be6aae72,2026-04-27 15:25:46,2026-04-27 17:29:37,0000039994,356-000282,Sample Business Label a586162d,55.00,13.00,0,2026-06-19,0000039644,0000039642,CGSQ-260424-000030,55.00,0.00,55.00,Closed,Normal
0000039991,01-HDKJ-CGDD-260427-014370,2026-04-27,Sample Business Label 986f8dd6,Production Project Purchase Order,Material Purchase,51204045,Sample Business Label a3aa66f1,Sample Business Label 63ab3236,Sample Business Label 4a589da7,2026-04-27 15:10:06,2026-04-27 16:09:33,0000039992,849-001156,Sample Business Label 7efa96e5,11000.00,13.00,0,2026-04-27,0000039200,0000039185,CGSQ-260423-000006,11000.00,0.00,11000.00,Closed,Normal
0000039989,01-HDKJ-CGDD-260427-014369,2026-04-27,Sample Business Label 986f8dd6,Production Project Purchase Order,Material Purchase,75504018,Sample Business Label 32541bed,Sample Business Label 63ab3236,Sample Business Label 8a4a5d45,2026-04-27 15:10:00,2026-04-28 21:47:10,0000039990,321-000604,Sample Business Label 8cdb7da6,100.00,13.00,0,2026-04-27,0000030809,0000030799,CGSQ-260318-000012,100.00,0.00,100.00,Closed,Normal
0000039987,01-HDKJ-CGDD-260427-014367,2026-04-27,Sample Business Label 986f8dd6,Production Project Purchase Order,Material Purchase,75504068,Sample Business Label 88fa0741,Sample Business Label 63ab3236,Sample Business Label 8a4a5d45,2026-04-27 15:09:50,2026-04-27 16:10:03,0000039988,321-000571,YC632_P2_PCB,1150.00,13.00,0,2026-04-27,0000039636,0000039637,CGSQ-260424-000026,1150.00,0.00,1150.00,Closed,Normal
0000039975,01-HDKJ-CGDD-260427-014363,2026-04-27,Sample Business Label 986f8dd6,Production Project Purchase Order,Material Purchase,02102087,Sample Business Label 7301cdf1,Sample Business Label 63ab3236,Sample Business Label 4b9d5da4,2026-04-27 14:10:52,2026-04-27 16:10:35,0000039974,733-000020,Sample Business Label 43b7aeb5,10000.00,13.00,0,2026-04-01,0000031503,0000031506,CGSQ-260323-000010,10000.00,0.00,10000.00,Closed,Normal
0000039975,01-HDKJ-CGDD-260427-014363,2026-04-27,Sample Business Label 986f8dd6,Production Project Purchase Order,Material Purchase,02102087,Sample Business Label 7301cdf1,Sample Business Label 63ab3236,Sample Business Label 4b9d5da4,2026-04-27 14:10:52,2026-04-27 16:10:35,0000039976,733-000020,Sample Business Label 43b7aeb5,4000.00,13.00,0,2026-03-23,0000029312,0000029335,CGSQ-260309-000017,4000.00,0.00,4000.00,Closed,Normal
0000039970,01-HDKJ-CGDD-260427-014355,2026-04-27,Sample Business Label 986f8dd6,Production Project Purchase Order,Material Purchase,5120233,Sample Business Label 0c19279d,Sample Business Label 63ab3236,Sample Business Label 4b9d5da4,2026-04-27 10:20:33,,0000039971,725-000041,Sample Business Label 05087a91,35723.00,13.00,0,2026-07-03,0000039687,0000039683,CGSQ-260424-000031,0.00,0.00,0.00,Closed,Normal
