id,billno,biztime,billtype_name,org_name,auditdate,entry_id,material_number,material_name,qty,unit_name,huid_xmh_name,srcbillid,srcbillnumber,srcbillentryid,joinqty,rowclosestatus_title,rowterminatestatus_title
0000007071,CGSQ-250623-000013,2025-06-23 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-06-23 18:13:37,0000007073,165-001970,Sample Business Label 7789b2bf,410.0000,piece,HD580-004-2410-1.5K,0,,0,410.0000,Closed,Normal
0000007071,CGSQ-250623-000013,2025-06-23 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-06-23 18:13:37,0000007074,849-000717,Sample Business Label 8b69d1b1,400.0000,piece,HD580-004-2410-1.5K,0,,0,400.0000,Closed,Normal
0000007071,CGSQ-250623-000013,2025-06-23 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-06-23 18:13:37,0000007075,849-000334,Sample Business Label 681ddc83,5100.0000,piece,HD580-004-2410-1.5K,0,,0,5100.0000,Closed,Normal
0000007071,CGSQ-250623-000013,2025-06-23 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-06-23 18:13:37,0000007076,849-000482,Sample Business Label 9202bbac,200.0000,piece,HD580-004-2410-1.5K,0,,0,200.0000,Closed,Normal
0000007077,CGSQ-250616-000026,2025-06-16 00:00:00,Sample Business Label 2dabf6c7,Sample Business Label 986f8dd6,2025-06-23 18:17:11,0000007078,165-002355,Sample Business Label 917e624b,200.0000,piece,Sample Business Label 72077749,0,,0,0.0000,Normal,Normal
0000007093,CGSQ-250624-000001,2025-06-24 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-06-24 10:44:17,0000007094,849-000204,Sample Business Label ea240e6e,50000.0000,piece,701-005-2505-5K,0,,0,50000.0000,Closed,Normal
0000007095,CGSQ-250624-000004,2025-06-24 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-06-24 13:15:15,0000007096,795-000439,Sample Business Label 9626f0da,20.0000,piece,HDVF80-001-2506-0.02K,0,,0,20.0000,Closed,Normal
0000007095,CGSQ-250624-000004,2025-06-24 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-06-24 13:15:15,0000007097,795-000451,Sample Business Label 8a901a3b,20.0000,piece,HDVF80-001-2506-0.02K,0,,0,20.0000,Closed,Normal
0000007095,CGSQ-250624-000004,2025-06-24 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-06-24 13:15:15,0000007098,795-000479,Sample Business Label d6b7a9e5,30.0000,piece,HDVF80-001-2506-0.02K,0,,0,30.0000,Closed,Normal
0000007095,CGSQ-250624-000004,2025-06-24 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-06-24 13:15:15,0000007099,795-000399,Sample Business Label 54d59702,25.0000,piece,HDVF80-001-2506-0.02K,0,,0,25.0000,Closed,Normal
0000007095,CGSQ-250624-000004,2025-06-24 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-06-24 13:15:15,0000007100,849-000791,Sample Business Label 6fbc1c91,400.0000,piece,HDVF80-001-2506-0.02K,0,,0,400.0000,Closed,Normal
0000007095,CGSQ-250624-000004,2025-06-24 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-06-24 13:15:15,0000007101,849-000334,Sample Business Label 681ddc83,300.0000,piece,HDVF80-001-2506-0.02K,0,,0,300.0000,Closed,Normal
0000002483,CGSQ-250403-000012,2025-04-03 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-04-03 17:27:13,0000002486,849-000528,Sample Business Label 0ecc2760,6000.0000,piece,HD580-004-2410-1.5K,0,,0,6000.0000,Closed,Normal
0000002483,CGSQ-250403-000012,2025-04-03 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-04-03 17:27:13,0000002487,849-000626,Sample Business Label 1c4d2e30,800.0000,piece,HD580-004-2410-1.5K,0,,0,800.0000,Closed,Normal
0000007095,CGSQ-250624-000004,2025-06-24 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-06-24 13:15:15,0000007102,165-001931,Sample Business Label 1ed107a8,150.0000,piece,HDVF80-001-2506-0.02K,0,,0,150.0000,Closed,Normal
0000007095,CGSQ-250624-000004,2025-06-24 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-06-24 13:15:15,0000007103,321-000437,Sample Business Label 1842c6fe,50.0000,piece,HDVF80-001-2506-0.02K,0,,0,50.0000,Closed,Normal
0000007095,CGSQ-250624-000004,2025-06-24 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-06-24 13:15:15,0000007104,356-000287,Sample Business Label c1f29344,30.0000,piece,HDVF80-001-2506-0.02K,0,,0,30.0000,Closed,Normal
0000007095,CGSQ-250624-000004,2025-06-24 00:00:00,Production Project Purchase Request,Sample Business Label 986f8dd6,2025-06-24 13:15:15,0000007105,849-000348,Sample Business Label da133feb,500.0000,piece,HDVF80-001-2506-0.02K,0,,0,500.0000,Closed,Normal
