supplier_code,supplier_name,societycreditcode,purchaserid_name,paycond_name
00104068,Sample Business Label 3619b5d6,91130539X2443015X7,Sample Business Label be6aae72,Sample Business Label ff788b37
01002002,Sample Business Label 4ce5f2ce,911101077476480796,Sample Business Label 97d9af27,Sample Business Label afd29945
01004004,Sample Business Label 5e669423,913111017214662656,Sample Business Label 97c6f6d8,Sample Business Label afd29945
54304002,Sample Business Label cf7f301e,9147010575267909XK,Sample Business Label be6aae72,Sample Business Label 11a0a069
57101004,Sample Business Label abf3ea38,91340102747801400L,Sample Business Label 113da22e,Sample Business Label ff788b37
57102001,Sample Business Label ae7f84a8,91430110MA58NY2A83,Sample Business Label 97c6f6d8,Sample Business Label ff788b37
57104006,Sample Business Label 16268d9e,91330521MA38CID349,Sample Business Label 97d9af27,Sample Business Label 030d7984
01004007,Sample Business Label ac1ca88c,,,Sample Business Label 030d7984
5710414,Sample Business Label 63e4a818,91350108MACDM56N42,Sample Business Label be6aae72,Sample Business Label ff788b37
5710427,Sample Business Label 180de928,91330523MC2B8CBFXM,Sample Business Label be6aae72,Sample Business Label ff788b37
57301002,Sample Business Label a773befb,913504023450645858,Sample Business Label 97c6f6d8,Sample Business Label ff788b37
57401015,Sample Business Label 2b945df0,913512817900560326,Sample Business Label 113da22e,Sample Business Label 030d7984
57403008,Sample Business Label 2be5eee1,91320504MA26FXUD5T,Sample Business Label 97d9af27,Sample Business Label 13cb4e5b
57403009,Sample Business Label 361ad2af,91320519MA45E6C326,Sample Business Label be6aae72,Sample Business Label ff788b37
57403018,Sample Business Label 4d052da4,91320519MAC8C14T0J,Sample Business Label be6aae72,Sample Business Label ff788b37
57403020,Sample Business Label c4125a3f,91350581MA27PW792Y,Sample Business Label 97c6f6d8,Sample Business Label 13cb4e5b
57403031,Sample Business Label d6cfb598,91320583896993428M,Sample Business Label be6aae72,Sample Business Label ff788b37
57403039,Sample Business Label 2939e317,91321507MAETEPTY9P,Sample Business Label be6aae72,Sample Business Label ff788b37
57403040,Sample Business Label 9fda0738,913206856600812997,Sample Business Label 113da22e,Sample Business Label ff788b37
5740306,Sample Business Label 098bb305,913302853406699655,Sample Business Label be6aae72,Sample Business Label ff788b37
5740309,Sample Business Label 3ea694e5,91330212M17749364Y,Sample Business Label 113da22e,Sample Business Label ff788b37
5740314,Sample Business Label e27c4826,91340281580544697M,Sample Business Label f0145987,Sample Business Label 030d7984
57501003,Sample Business Label a2f8a54f,91330681MA288J5D0Y,Sample Business Label f0145987,Sample Business Label 030d7984
57904004,Sample Business Label 18d8a3cb,91330783MA2GZGJ18X,Sample Business Label f0145987,Sample Business Label 030d7984
5810109,Sample Business Label a3dd0148,91332401075313009Q,Sample Business Label be6aae72,Sample Business Label ff788b37
59202001,Sample Business Label c7b682f7,913503236999476941,Sample Business Label 97d9af27,Sample Business Label afd29945
59202002,Sample Business Label 20699480,91352203705448009C,Sample Business Label 97d9af27,Sample Business Label 13cb4e5b
59203004,Sample Business Label 96242874,91350222MC3464PP32,Sample Business Label f0145987,Sample Business Label ff788b37
73901001,Sample Business Label 0b2ebec4,914505353236187311,Sample Business Label be6aae72,Sample Business Label 13cb4e5b
73901002,Sample Business Label 18d46f33,91450121MB4T6A5W4Q,Sample Business Label 4b9d5da4,Sample Business Label afd29945
75201006,Sample Business Label cb94a64a,91441300MC52HLYF45,Sample Business Label f0145987,Sample Business Label 030d7984
75501002,Sample Business Label 720ca4cc,91443300079540082H,Sample Business Label f0145987,Sample Business Label 030d7984
75501018,Sample Business Label f4ed0cdc,91440300719230857T,Sample Business Label 97d9af27,Sample Business Label 13cb4e5b
75501022,Sample Business Label 2309bc27,914403006803843326,Sample Business Label 97c6f6d8,Sample Business Label 13cb4e5b
75501051,Sample Business Label 3fbf2d04,91440300316360881D,Sample Business Label be6aae72,Sample Business Label ff788b37
75501055,Sample Business Label c39bf16c,91443300738830606D,Sample Business Label 97c6f6d8,Sample Business Label ff788b37
75501068,Sample Business Label 0cab3f4b,91453500667064838Y,Sample Business Label 113da22e,Sample Business Label ff788b37
75501075,Sample Business Label cb9bd547,91440310746400329W,Sample Business Label 4b9d5da4,Sample Business Label 13cb4e5b
75501076,Sample Business Label 4a488331,91440321351246195A,Sample Business Label f0145987,Sample Business Label 13cb4e5b
01004060,Sample Business Label a3e958d7,9111010843196508XL,Sample Business Label 97c6f6d8,Sample Business Label ff788b37
75501083,Sample Business Label 29d95f18,91440301MA7G577EXU,Sample Business Label be6aae72,Sample Business Label ff788b37
75501084,Sample Business Label 76cbb941,91440320MA5GKN936K,Sample Business Label 8a4a5d45,Sample Business Label 13cb4e5b
75502001,Sample Business Label e0971677,914403000504978964,Sample Business Label 97d9af27,Sample Business Label ff788b37
75502004,Sample Business Label f0899ff3,91440302708469463E,Sample Business Label 97c6f6d8,Sample Business Label 13cb4e5b
02002016,Sample Business Label 3a97805b,91440600574485851K,Sample Business Label f0145987,Sample Business Label afd29945
0200202,Sample Business Label 4917078d,91440300071398469E,Sample Business Label 97c6f6d8,Sample Business Label 13cb4e5b
75502013,Sample Business Label 15f4629c,91440500557287474A,Sample Business Label 97c6f6d8,Sample Business Label ff788b37
75502028,Sample Business Label 383438fb,91440300723048085R,Sample Business Label 97d9af27,Sample Business Label ff788b37
75502029,Sample Business Label dc2bee14,91440300691156046N,Sample Business Label 97d9af27,Sample Business Label ff788b37
75502043,Sample Business Label b17e5a73,91440300359759198L,Sample Business Label 97d9af27,Sample Business Label 13cb4e5b
75502049,Sample Business Label 924661e3,914403000944109273,Sample Business Label 97d9af27,Sample Business Label afd29945
75502052,Sample Business Label 460c93fc,91440310051506141H,Sample Business Label 97d9af27,Sample Business Label ff788b37
75502058,Sample Business Label 615560e3,91441300OA8DG2A71F,Sample Business Label 97c6f6d8,Sample Business Label ff788b37
75502070,Sample Business Label 9223031d,914403017261793822,Sample Business Label 97d9af27,Sample Business Label 13cb4e5b
75503004,Sample Business Label 1f80098e,,Sample Business Label 97d9af27,Sample Business Label 030d7984
75503010,Sample Business Label 231f3371,914403003382776833,,
75503012,Sample Business Label 309ec6ce,91440310790338016Q,Sample Business Label 97d9af27,Sample Business Label ff788b37
75503024,Sample Business Label 5d7c3dc0,91440300084443591X,Sample Business Label 97d9af27,Sample Business Label ff788b37
75503031,Sample Business Label f3422d38,91540500570018501Q,Sample Business Label 97c6f6d8,Sample Business Label ff788b37
75504009,Sample Business Label 510839ae,91442310MA5F01AL8L,Sample Business Label 97c6f6d8,Sample Business Label ff788b37
75504018,Sample Business Label 32541bed,91440300MA5GLYKK9Q,Sample Business Label 8a4a5d45,Sample Business Label ff788b37
75504026,Sample Business Label 0e123e03,916403003496690740,Sample Business Label be6aae72,Sample Business Label 1a26edf9
75504034,Sample Business Label e53d29bb,91460300787187046H,Sample Business Label 97d9af27,Sample Business Label 998d7796
75504042,Sample Business Label f17e41e1,91440300PA5I02QHX9,Sample Business Label be6aae72,Sample Business Label 13cb4e5b
75504065,Sample Business Label 245e19b8,91440300349732519C,Sample Business Label 97c6f6d8,Sample Business Label ff788b37
75504067,Sample Business Label afbcf435,91440400592773151C,Sample Business Label 97c6f6d8,Sample Business Label 030d7984
75504068,Sample Business Label 88fa0741,91640310342725677U,Sample Business Label 97d9af27,Sample Business Label afd29945
75504071,Sample Business Label 820f8e72,914423305503230084,Sample Business Label be6aae72,Sample Business Label ff788b37
75504077,Sample Business Label 3fe88746,914403005500628674,Sample Business Label 8a4a5d45,Sample Business Label 030d7984
75504086,Sample Business Label 6d498559,914403000733782360,Sample Business Label 97d9af27,Sample Business Label ff788b37
75504095,Sample Business Label d30b01ff,91440300OA5H7Y4K6G,Sample Business Label be6aae72,Sample Business Label ff788b37
75504207,Sample Business Label 1ea9b4ed,91441900MAEW4BRJ8E,Sample Business Label f0145987,Sample Business Label ff788b37
75504211,Sample Business Label 43fb5b8e,914413007719566471,Sample Business Label 97d9af27,Sample Business Label ff788b37
75504212,Sample Business Label 68bb0d5d,91443320MA5GHUNYY6,Sample Business Label 97d9af27,Sample Business Label ff788b37
75504213,Sample Business Label 12f88dd2,91440400MACX3KH80L,Sample Business Label 97c6f6d8,Sample Business Label 13cb4e5b
7550460,Sample Business Label c64f9aed,91440400MC5H27GR4F,Sample Business Label 97c6f6d8,Sample Business Label ff788b37
7550483,Sample Business Label 52da0818,914603006197667954,Sample Business Label 97c6f6d8,Sample Business Label ff788b37
