material_code,material_name,huid_productline_name
382-000005,Beidou Agricultural Navigation Controller,Autonomous Driving
382-000006,Beidou Agricultural Navigation Controller,Autonomous Driving
526-000001,Beidou Agricultural Navigation Controller,Autonomous Driving
526-000005,Beidou Agricultural Navigation Controller,Autonomous Driving
526-000006,Beidou Agricultural Navigation Controller,Autonomous Driving
623-000034,408 Satellite Land Leveling System (Overseas),Autonomous Driving
367-000061,Sample Business Label cb6463ca,Sample Business Label 1674b06f
367-000097,Sample Business Label e8c4b42d,Sample Business Label 1674b06f
367-000102,Sample Business Label e8c4b42d,Sample Business Label 1674b06f
367-000130,Sample Business Label 766526c9,Sample Business Label 1674b06f
367-000131,Sample Business Label 766526c9,Sample Business Label 1674b06f
590-000064,Full-cycle Agricultural Operation Detection System,Sample Business Label 7bdc2d0a
590-000072,Full-cycle Agricultural Operation Detection System,Sample Business Label 7bdc2d0a
590-000073,Full-cycle Agricultural Operation Detection System,Sample Business Label 7bdc2d0a
590-000074,Full-cycle Agricultural Operation Detection System,Sample Business Label 7bdc2d0a
590-000075,Full-cycle Agricultural Operation Detection System,Sample Business Label 7bdc2d0a
590-000100,Agricultural Machinery Detection System,Sample Business Label 7bdc2d0a
734-000001,Sample Business Label 108580c2,Sample Business Label 96053b3e
734-000003,Sample Business Label cf4897a8,Sample Business Label 96053b3e
U00-000080,Beidou Vehicle Telematics Terminal System,Sample Business Label 5c716e22
U00-000151,Beidou Vehicle Telematics Terminal System,Sample Business Label 5c716e22
U00-000155,Beidou Vehicle Telematics Terminal System,Sample Business Label 5c716e22
U00-000159,Beidou Vehicle Telematics Terminal System,Sample Business Label 5c716e22
U00-000160,Beidou Vehicle Telematics Terminal System,Sample Business Label 5c716e22
U00-000161,Beidou Vehicle Telematics Terminal System,Sample Business Label 5c716e22
U00-000170,Beidou Vehicle Telematics Terminal System,Sample Business Label 5c716e22
P69-000060,Sample Business Label 713c8bb9,Sample Business Label 735ac064
P61-000328,Sample Business Label 8a608f8b,Sample Business Label 761a79a0
P61-000331,Sample Business Label 8a608f8b,Sample Business Label 761a79a0
P61-000351,Sample Business Label 8a608f8b,Sample Business Label 761a79a0
